state,Year,Month,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct
CO,2022,1,0.08056249999999997,0.8236624999999999,0.09577187499999999,0.022474062500000017,0.09821875,0.03909374999999999,0.10099999999999994,0.19399999999999992,0.2514687499999999,76.05483870967741,67.25161290322582,44.806451612903224
CO,2022,2,0.06328260869565219,0.8510072463768118,0.08573188405797101,0.04642826086956523,0.1505072463768116,0.05311594202898551,0.10442028985507246,0.12688405797101449,0.3330434782608697,77.96785714285716,68.79285714285713,49.13214285714285
CO,2022,3,0.0649496855345912,0.848251572327044,0.08677987421383647,0.0343496855345912,0.13654088050314456,0.03792452830188679,0.10547169811320754,0.10654088050314464,0.3490566037735851,78.63548387096773,69.51935483870967,50.470967741935475
CO,2022,4,0.065,0.8725479452054794,0.06244520547945205,-0.011326027397260274,0.14239726027397254,0.025684931506849317,0.1028767123287671,0.08041095890410958,0.3676712328767125,79.10000000000001,69.99666666666668,51.40999999999999
CO,2022,5,0.061825503355704706,0.8532416107382548,0.08493288590604026,0.004344966442953022,0.16590604026845626,0.03483221476510067,0.07355704697986576,0.11154362416107383,0.34550335570469815,79.55161290322582,70.4,52.23548387096775
CO,2022,6,0.04375806451612905,0.8410241935483869,0.11521774193548388,0.2061951612903227,0.19193548387096773,0.037258064516129036,0.07346774193548386,0.16572580645161286,0.24903225806451604,79.87777777777777,70.68888888888888,53.01111111111111
CO,2022,7,0.07760431654676259,0.8429928057553959,0.07938129496402876,0.017479856115107915,0.1319424460431654,0.029064748201438857,0.09460431654676257,0.18913669064748204,0.353381294964029,80.6,71.0,54.45
CO,2022,8,0.053260504201680665,0.8730168067226891,0.07369747899159661,0.03576302521008402,0.18647058823529403,0.024117647058823532,0.08,0.10899159663865546,0.2643697478991597,81.2,71.41999999999999,55.08
CO,2022,9,0.05476404494382023,0.89191011235955,0.05330337078651684,-0.020326966292134832,0.1608988764044944,0.054719101123595515,0.0793258426966292,0.11573033707865167,0.3979775280898877,81.6,71.775,55.400000000000006
CO,2022,10,0.07564885496183209,0.8412137404580156,0.08313740458015267,0.00018625954198474537,0.15946564885496184,0.03618320610687023,0.08610687022900765,0.16755725190839688,0.3745038167938931,82.17500000000001,72.32499999999999,55.875
CO,2022,11,0.0631311475409836,0.8714426229508195,0.06544262295081968,0.07091311475409838,0.1681967213114754,0.01918032786885246,0.10639344262295082,0.12819672131147541,0.36442622950819675,82.80000000000001,72.85,56.575
CT,2021,1,0.07880283911671919,0.8259353312302837,0.0952492113564668,0.02470567823343847,0.09362776025236594,0.03626182965299685,0.12615141955835965,0.1832965299684543,0.260788643533123,0.0,0.0,0.0
CT,2021,2,0.07291176470588238,0.8205137254901957,0.10654705882352936,0.06617215686274515,0.11145098039215685,0.033647058823529405,0.1317843137254902,0.17325490196078433,0.2827647058823529,9.09642857142857,0.0,0.0
CT,2021,3,0.06517056856187292,0.8273093645484957,0.10751839464882944,0.08829732441471573,0.11969899665551839,0.04010033444816052,0.14682274247491642,0.17608695652173909,0.2960033444816053,27.67096774193549,12.796774193548384,0.0
CT,2021,4,0.05684675324675323,0.8476545454545455,0.0954831168831169,0.09379662337662345,0.11984415584415582,0.03732467532467533,0.11067532467532465,0.17771428571428577,0.23979220779220786,46.236666666666665,29.843333333333337,0.0
CT,2021,5,0.05276892430278884,0.8545219123505982,0.0926932270916334,0.11621912350597617,0.13071713147410355,0.023665338645418324,0.09557768924302787,0.13780876494023905,0.23745019920318725,59.25483870967741,47.39354838709677,0.0
CT,2021,6,0.06682673267326732,0.8374801980198018,0.09570297029702975,0.07489504950495052,0.10084158415841585,0.0343069306930693,0.13886138613861382,0.14599009900990095,0.23801980198019804,65.31333333333335,57.35333333333333,0.0
CT,2021,7,0.0755441696113074,0.8228657243816252,0.10157597173144871,0.05704522968197878,0.11314487632508832,0.03961130742049469,0.13067137809187276,0.18653710247349817,0.2224028268551236,68.37096774193549,62.087096774193554,0.0
CT,2021,8,0.08446666666666666,0.8131876543209874,0.1023654320987654,0.02662543209876544,0.10288888888888888,0.029703703703703708,0.12343209876543208,0.20316049382716056,0.251679012345679,71.79677419354839,64.56129032258066,0.0
CT,2021,9,0.0785804195804196,0.8407447552447549,0.08067482517482516,0.007463636363636368,0.09496503496503494,0.0336013986013986,0.13615384615384615,0.15006993006993002,0.2843356643356643,74.97333333333334,67.44666666666667,0.0
CT,2021,10,0.07773134328358207,0.8069701492537319,0.11530845771144273,0.06046915422885572,0.12552238805970148,0.05562189054726368,0.08825870646766167,0.18487562189054715,0.32611940298507464,77.6774193548387,69.81290322580645,2.9999999999999996
CT,2021,11,0.07493627450980393,0.8289558823529413,0.09607843137254901,0.04845539215686275,0.11632352941176469,0.0344607843137255,0.1219607843137255,0.19990196078431366,0.25745098039215686,81.54666666666665,71.38666666666668,17.26
CT,2021,12,0.07280487804878046,0.8390894308943084,0.08808739837398365,0.052904878048780406,0.09989837398373985,0.04256097560975608,0.12404471544715447,0.19091463414634147,0.28197154471544705,86.6064516129032,73.6741935483871,31.858064516129037
CT,2022,1,0.061860805860805855,0.8456336996336995,0.09252747252747251,0.04814065934065935,0.12238095238095237,0.04051282051282051,0.11945054945054942,0.2116849816849817,0.2602564102564102,90.98709677419355,75.70967741935485,43.570967741935476
